job_id,job_key,company_name,url,title,location,description,qualifications,working_condition,ai_summary,title_ja,description_ja,qualifications_ja,working_condition_ja,job_category,language_tags,ai_related,work_style,employment_type,experience_level_hint,global_related,tech_keywords,job_score,job_reason
4089245004,paypay__4089245004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4089245004,エンタープライズ営業担当,Hybrid,,,,エンタープライズ営業担当の求人で、勤務地はハイブリッドです。応募要件や勤務条件の詳細は記載されていませんが、営業経験が求められる可能性があります。興味のある方は、具体的な情報を確認することをお勧めします。,エンタープライズ営業担当,当社のエンタープライズ営業チームに参加し、大規模顧客との関係構築や新規ビジネスの開拓を行います。市場のニーズを理解し、最適なソリューションを提案することが求められます。,営業経験が3年以上あり、特にエンタープライズ向けの営業に携わったことがある方。優れたコミュニケーション能力と交渉力を持ち、チームでの協力ができる方。,フルタイム勤務。リモートワークの可能性あり。給与は経験に応じて決定します。,Other,,No,Hybrid,FullTime,Intermediate,No,,15,"['Otherカテゴリ', 'ハイブリッド勤務']"
4089251004,paypay__4089251004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4089251004,Frontend Engineer,Hybrid,"We are looking for a web frontend engineer to join PayPay. You will be building features that change how people in Japan use and manage their finances and business. As a fast-paced company leading the payments industry, we need our engineers to be versatile and enthusiastic to take on new challenges in order to stay at the forefront.",,,PayPayでは、ハイブリッド勤務のフロントエンドエンジニアを募集しています。日本の人々の金融管理やビジネスの利用方法を変える機能を構築する役割で、柔軟性と新しい挑戦に対する意欲が求められます。,フロントエンドエンジニア,PayPayに参加するウェブフロントエンドエンジニアを募集しています。日本の人々が財務やビジネスを管理する方法を変える機能を構築していただきます。急成長中の決済業界のリーダーとして、私たちはエンジニアが多様なスキルを持ち、新しい挑戦に対して熱意を持って取り組むことを求めています。,,,Frontend,,No,Hybrid,Unknown,Unknown,No,,32,"['Frontendカテゴリ', 'ハイブリッド勤務', '情報量が十分']"
4089304004,paypay__4089304004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4089304004,IT統制担当/IT Controller,Hybrid,,,,IT統制担当（IT Controller）の求人で、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、IT管理に関する経験が求められる可能性があります。柔軟な働き方を希望する方に適しています。,IT統制担当,,,,Other,,No,Hybrid,Unknown,Unknown,No,,15,"['Otherカテゴリ', 'ハイブリッド勤務']"
4090172004,paypay__4090172004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4090172004,Automation QA Engineer,Hybrid,,"Minimum 3+ years of experience in developing, executing, and maintaining automated test cases for mobile applications, web applications, and/or APIs. Proven professional experience with at least one of the following automation frameworks/tools: Appium (for mobile), Selenium (for web), or Rest-Assured (for APIs). Proficient in utilizing Cucumber for defining and executing test cases. Well-versed in Continuous Integration/Continuous Deployment (CI/CD) tools such as Jenkins, Bitrise, or similar platforms. Basic understanding of microservices architecture and its associated testing challenges. Strong ability to analyze technical requirements, design comprehensive test strategies, and create detailed, effective test cases. Exceptional analytical and problem-solving skills, coupled with a meticulous attention to detail. Excellent communication skills, a team-oriented mindset, and the ability to work effectively both independently and collaboratively. Hands-on experience with AI productivity tools (NotebookLM, Gemini, Cursor AI, GitHub Copilot). Knowledge of OpenAI API usage, key management, embeddings, and LLM integration workflows. Familiarity with MCP server concepts and their integration in test automation pipelines. Understanding of AI system validation techniques, including testing for bias, hallucinations, drift, and robustness.",,Automation QA Engineerの求人で、ハイブリッド勤務が可能です。応募には、モバイルやウェブアプリ、APIの自動テストケースの開発・実行・保守に3年以上の経験が必要で、AppiumやSeleniumなどの自動化ツールの使用経験が求められます。また、CI/CDツールやAI関連の知識も必要です。,自動化QAエンジニア,モバイルアプリケーション、ウェブアプリケーション、またはAPIの自動テストケースの開発、実行、保守において、最低3年以上の経験を持つ方を募集します。Appium（モバイル用）、Selenium（ウェブ用）、またはRest-Assured（API用）のいずれかの自動化フレームワーク/ツールに関する実務経験が必要です。Cucumberを使用してテストケースを定義・実行する能力が求められます。Jenkins、BitriseなどのCI/CDツールに精通していることが望ましいです。マイクロサービスアーキテクチャとそのテストに関連する課題についての基本的な理解が必要です。技術要件を分析し、包括的なテスト戦略を設計し、詳細で効果的なテストケースを作成する能力が求められます。優れた分析力と問題解決能力、細部への注意力が必要です。優れたコミュニケーションスキルとチーム志向のマインドセットを持ち、独立しても協力しても効果的に働ける方を歓迎します。AI生産性ツール（NotebookLM、Gemini、Cursor AI、GitHub Copilot）を使用した実務経験がある方が望ましいです。OpenAI APIの使用、キー管理、埋め込み、LLM統合ワークフローに関する知識があると尚良いです。テスト自動化パイプラインにおけるMCPサーバーの概念とその統合についての理解が求められます。AIシステムの検証技術、バイアス、幻覚、ドリフト、堅牢性のテストを含む理解が必要です。,モバイルアプリケーション、ウェブアプリケーション、またはAPIの自動テストケースの開発、実行、保守において最低3年以上の経験。Appium、Selenium、またはRest-Assuredのいずれかの自動化フレームワーク/ツールに関する実務経験。Cucumberを使用したテストケースの定義・実行に熟練。Jenkins、BitriseなどのCI/CDツールに精通。マイクロサービスアーキテクチャの基本的な理解。技術要件の分析、テスト戦略の設計、効果的なテストケースの作成能力。優れた分析力、問題解決能力、細部への注意力。優れたコミュニケーションスキル、チーム志向、独立しても協力しても働ける能力。AI生産性ツールの実務経験。OpenAI API、キー管理、埋め込み、LLM統合ワークフローに関する知識。MCPサーバーの概念とテスト自動化パイプラインへの統合の理解。AIシステム検証技術の理解。,詳細は面談時にお伝えします。,Other,Java|Python,Yes,Hybrid,FullTime,Intermediate,No,Appium|Selenium|Rest-Assured|Cucumber|Jenkins|Bitrise,59,"['Otherカテゴリ', 'AI関連', 'ハイブリッド勤務', '技術スタック情報あり', '主要技術キーワードあり', '情報量が豊富']"
4092131004,paypay__4092131004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4092131004,障がい者採用(事務スタッフ/Hybrid Workstyle勤務/全国勤務可),Remote,,,,障がい者を対象とした事務スタッフの求人で、全国どこからでもリモート勤務が可能です。ハイブリッドワークスタイルを採用しており、柔軟な働き方ができます。応募要件や具体的な仕事内容は記載されていません。,障がい者採用 事務スタッフ,全国で勤務可能な事務スタッフを募集しています。ハイブリッドワークスタイルでの勤務が可能です。,障がい者手帳をお持ちの方。事務経験があれば尚可。,ハイブリッドワークスタイル、全国勤務可。,Other,,No,Hybrid,Unknown,Unknown,Yes,,30,"['Otherカテゴリ', 'グローバル要素あり', 'ハイブリッド勤務']"
4726951004,paypay__4726951004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4726951004,ポイントソリューション営業担当,Hybrid,,,,ポイントソリューション営業担当の求人で、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、営業経験が求められる可能性があります。勤務条件についての詳細は不明です。,ポイントソリューション営業担当,当社のポイントソリューションを提供する営業チームの一員として、顧客との関係構築や新規顧客の開拓を行います。市場のニーズを把握し、最適なソリューションを提案する役割を担います。,営業経験があり、コミュニケーション能力に優れた方。ポイントソリューションや関連技術に関する知識があれば尚可。,フルタイム勤務。勤務地は東京。,Other,,No,Hybrid,FullTime,Unknown,No,,15,"['Otherカテゴリ', 'ハイブリッド勤務']"
4888665004,paypay__4888665004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4888665004,Principal Software Engineer,Hybrid,"We are looking for a Principal Software Engineer to work on our various systems which need high scalability, reliability and availability. These challenges require creative thinking and a deep understanding of how software and platform work.
Our ideal candidate is an ace problem solver and a learner at heart. You should have a very high degree of comfort in a programming language of your choice. We offer a flexible work schedule and you get your choice of tools (both hardware and software) and most importantly, the opportunity to work on tough problems with the brightest minds around you. So, if challenges excite you, and you're ready for a big one, let us know.
Responsibilities:
Design, develop, test, deploy, maintain and improve software and core platform Lead technical aspects for multiple projects through hands-on execution and guidance of other engineers Provide architectural blueprints and technical leadership. Provides input and guidance during all phases of programs to solve challenging technical issues. Build common platforms to support different business vertical application systems Develop tools and contribute to open source wherever possible Adopt problem-solving as a way of life – always go to the root cause!
Experience:
Solid foundation in designing, implementing, and maintaining a large-scale distributed system. Experience in developing distributed platform systems such as Messaging Platforms, Pub/Sub Systems, Databases, Distributed Computing Frameworks, and Schedulers.
Tech Stack:
Our technology stack may vary based on project needs. Currently, we utilize:
Programming Languages: Java, Kotlin, Scala Frameworks and Tools: Spring Boot, JUnit, Resilience4j, Feign Databases: MySQL/AuroraDB, DynamoDB, ELK, Kafka, Redis, TiDB Deployment and Orchestration: Docker, Kubernetes, ArgoCD, AWS, GCP Development Tools: GitHub, IntelliJ, Gradle, Maven, npm/yarn, Flyway, Jenkins Data Analytics: BigQuery, Kibana, Spark Diagramming Tools: PlantUML, draw.io , miro.com Communication: Slack, Zoom
Qualifications:
Degree in Computer Engineering or Computer Science or 7+ years equivalent experience in software development Strong fundamentals in data structure, algorithm, operating system and object-oriented programming Deep understanding of concurrency, distributed computing, large-scale system, messaging and algorithm Software development experience in one or more general-purpose programming languages Interest and ability to learn new technology stacks as needed
Preferred Qualifications:
Experience in working for system development in finance, payment, or similar industries Experience with AWS services Contribute to open-source projects Language ability in Japanese and English is a plus (We have a professional translator but it is nice to have language skills)
Portrait:
Experience: Demonstrated experience designing and implementing large scale, high performance, micro-service based architectures utilizing new concepts and technologies where appropriate. Ownership: A mentoring approach to owning, managing and improving the technical aspects of a large scale system end to end. Communication : The ability to clearly and logically communicate your choice of technology and architectural decision based on its implementation strengths and limitations. Commitment : As a professional, commit to the growth and business goals of the organization and create impactful results by your ownership. Curiosity: Foster a development culture that explores new ideas knowing that we learn even from the ones that fail.",,,ハイブリッド勤務のPrincipal Software Engineerを募集しています。大規模で信頼性の高いシステムの設計・開発・改善を行い、他のエンジニアを指導する役割です。プログラミング言語に精通し、分散システムやマイクロサービスアーキテクチャの経験が求められます。,プリンシパルソフトウェアエンジニア,高いスケーラビリティ、信頼性、可用性が求められるさまざまなシステムに取り組むプリンシパルソフトウェアエンジニアを募集しています。このような課題には創造的な思考とソフトウェアおよびプラットフォームの深い理解が必要です。理想的な候補者は問題解決の達人であり、学ぶことに情熱を持っています。選択したプログラミング言語に非常に高い快適さを持っている必要があります。柔軟な勤務スケジュールを提供し、ハードウェアとソフトウェアのツールを自由に選択でき、最も重要なことは、周囲の優秀な人々と共に難しい問題に取り組む機会が得られることです。挑戦が好きで、大きな挑戦に準備ができている方はぜひご連絡ください。,コンピュータ工学またはコンピュータサイエンスの学位、またはソフトウェア開発における7年以上の同等の経験。データ構造、アルゴリズム、オペレーティングシステム、オブジェクト指向プログラミングの強固な基礎。並行処理、分散コンピューティング、大規模システム、メッセージング、アルゴリズムに関する深い理解。一般的なプログラミング言語の1つ以上でのソフトウェア開発経験。必要に応じて新しい技術スタックを学ぶ意欲と能力。,プロジェクトのニーズに応じて技術スタックが異なる場合があります。現在使用している技術スタックには、Java、Kotlin、Scalaなどのプログラミング言語、Spring Boot、JUnit、Resilience4j、Feignなどのフレームワークとツール、MySQL/AuroraDB、DynamoDB、ELK、Kafka、Redis、TiDBなどのデータベース、Docker、Kubernetes、ArgoCD、AWS、GCPなどのデプロイおよびオーケストレーション、GitHub、IntelliJ、Gradle、Maven、npm/yarn、Flyway、Jenkinsなどの開発ツール、BigQuery、Kibana、Sparkなどのデータ分析ツール、PlantUML、draw.io、miro.comなどの図作成ツール、Slack、Zoomなどのコミュニケーションツールが含まれます。,Backend,Java|Kotlin|Scala,No,Hybrid,FullTime,Advanced,Yes,Spring Boot|JUnit|Resilience4j|Feign|MySQL|AuroraDB|DynamoDB|ELK|Kafka|Redis|TiDB|Docker|Kubernetes|ArgoCD|AWS|GCP|GitHub|IntelliJ|Gradle|Maven|npm|yarn|Flyway|Jenkins|BigQuery|Kibana|Spark|PlantUML|draw.io|miro.com|Slack|Zoom,76,"['Backendカテゴリ', 'グローバル要素あり', 'ハイブリッド勤務', '技術スタック情報あり', '主要技術キーワードあり', '情報量が豊富']"
4896155004,paypay__4896155004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4896155004,金融法務担当,Hybrid,,,,金融法務担当の求人で、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、金融関連の法務業務に従事するポジションです。勤務条件についての詳細も不明ですが、柔軟な働き方が可能です。,金融法務担当,金融業界における法務業務を担当していただきます。契約書の作成やレビュー、法令遵守の確認、リスク管理に関するアドバイスを行います。,法務関連の学位または資格を有し、金融業界での経験がある方。法律知識が豊富で、コミュニケーション能力が高い方を求めています。,フルタイム勤務。勤務地は東京で、リモートワークの可能性もあります。,Other,,No,Hybrid,FullTime,Intermediate,No,,15,"['Otherカテゴリ', 'ハイブリッド勤務']"
4916119004,paypay__4916119004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4916119004,内部統制（IT統制担当）,Hybrid,,,,内部統制（IT統制担当）の求人で、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、IT関連の統制業務に関わるポジションです。興味のある方は詳細を確認の上、応募を検討してください。,内部統制（IT統制担当）,,,,Other,,No,Hybrid,Unknown,Unknown,No,,15,"['Otherカテゴリ', 'ハイブリッド勤務']"
4919371004,paypay__4919371004,paypay,https://job-boards.greenhouse.io/paypay/jobs/4919371004,Cloud Platform Engineer (DB Specialist),Hybrid,"We are working to provide the best financial services to users in Japan. We empower PayPay product by realizing efficient, stable and optimized storage services. PayPay is looking for Cloud Platform Engineers who specialize in databases at scale on mission critical systems.
Main Responsibilities
Database operations, including monitoring, configuration management, upgrade, scaling, backup, and data migration. Iterate on database operations to improve quality and efficiency Troubleshoot stability and performance problems Contribute to documentation for communicating knowledge, experience and for effective decision-making Research and test new tools in database ecosystems, and adopt them in PayPay Group.","More than 5 years of DBA experience with a minimum of 3 years MySQL or PostgreSQL experience. More than 3 years of AWS experience in recent years Hands-on experience with Infra as Code (IaC - terraform) Interested in new technologies and willing to improve operational quality and efficiency Familiar with shell and programming language for scripting(Python, Go,...)",,PayPayでは、データベースを専門とするCloud Platform Engineerを募集しています。応募者は、5年以上のDBA経験と3年以上のMySQLまたはPostgreSQL経験、AWSの実務経験が必要です。ハイブリッド勤務で、データベースの運用や新技術の研究・導入に携わります。,クラウドプラットフォームエンジニア（DBスペシャリスト）,私たちは、日本のユーザーに最高の金融サービスを提供するために取り組んでいます。PayPayの製品を支えるために、効率的で安定した最適化されたストレージサービスを実現しています。PayPayでは、ミッションクリティカルなシステムにおける大規模なデータベースに特化したクラウドプラットフォームエンジニアを募集しています。主な責任は、データベースの運用（監視、構成管理、アップグレード、スケーリング、バックアップ、データ移行など）を行い、品質と効率を向上させるために改善を繰り返し、安定性やパフォーマンスの問題をトラブルシュートし、知識や経験を共有するための文書作成に貢献し、データベースエコシステム内の新しいツールを研究・テストし、PayPayグループに導入することです。,DBAとしての経験が5年以上あり、MySQLまたはPostgreSQLの経験が3年以上あること。最近3年以上のAWSの経験があること。Infra as Code（IaC - terraform）の実務経験があること。新しい技術に興味があり、運用の品質と効率を向上させる意欲があること。スクリプト作成のためのシェルやプログラミング言語（Python、Goなど）に精通していること。,,Infra/SRE,MySQL|PostgreSQL|AWS|Python|Go,No,Hybrid,FullTime,Advanced,No,Infra as Code|terraform,55,"['Infra/SREカテゴリ', 'ハイブリッド勤務', '技術スタック情報あり', '主要技術キーワードあり', '情報量が豊富']"
